,Player,Average Total Rebounds,Average Total Blocks,Average Total Points,Cluster
127,Jaxson Hayes,3.72,0.62,6.7,1
128,Jay Huff,1.53,0.37,2.83,1
129,Jaylin Williams,4.15,0.3,4.95,1
130,Jeff Ayres,1.3,0.2,1.8,1
131,Jeff Green,2.9,0.5,12.2,1
132,Jeff Withey,2.12,0.6,2.82,1
133,Jeremiah Robinson-Earl,5.6,0.3,7.5,1
134,Jericho Sims,4.0,0.45,2.7,1
135,Jerome Jordan,2.4,0.3,3.1,1
136,Joakim Noah,6.35,0.68,4.68,1
137,Jock Landale,3.27,0.43,5.47,1
138,Joel Anthony,1.53,0.63,1.33,1
139,Joel Embiid,10.94,1.72,27.56,2
140,Joel Freeland,4.0,0.5,3.5,1
141,Joffrey Lauvergne,3.65,0.2,5.1,1
142,John Butler,0.9,0.5,2.4,1
143,John Henson,4.84,1.34,6.73,1
144,Johnathan Williams,4.1,0.3,6.5,1
145,Jon Teske,0.7,0.0,0.0,1
146,Jonah Bolden,1.5,0.35,1.5,1
147,Jonas Valančiūnas,9.82,0.99,14.39,2
148,Jordan Bell,2.93,0.69,2.83,1
149,Jordan Hill,5.37,0.4,7.5,1
150,Julius Randle,8.0,0.5,16.1,2
151,Justin Hamilton,3.73,0.8,6.23,1
152,Justin Patton,1.7,0.28,2.72,1
153,Jusuf Nurkić,8.89,1.24,12.41,2
154,Kai Jones,1.6,0.4,2.2,1
155,Karl-Anthony Towns,11.24,1.34,23.57,2
156,Kelly Olynyk,5.07,0.47,9.99,1
157,Kendrick Perkins,3.1,0.3,3.02,1
158,Kenneth Faried,5.95,0.55,9.0,1
159,Kevin Love,8.25,0.3,15.6,2
160,Kevin Séraphin,3.1,0.75,5.25,1
161,Kevon Looney,5.21,0.51,4.72,1
162,Khem Birch,4.43,0.6,5.33,1
163,Killian Tillie,1.5,0.4,3.25,1
164,Kosta Koufos,5.44,0.66,5.8,1
165,Kristaps Porziņģis,8.5,1.68,20.95,2
166,Kyle Alexander,1.5,0.0,1.0,1
167,Kyle O'Quinn,4.57,1.0,5.1,1
168,LaMarcus Aldridge,6.65,1.37,17.12,2
169,Larry Nance Jr.,6.33,0.53,7.72,1
170,Larry Sanders,3.45,0.8,4.05,1
171,Lavoy Allen,5.1,0.7,5.0,1
172,LeBron James,8.2,1.1,30.3,2
173,Lucas Nogueira,2.38,0.72,2.53,1
174,Luka Garza,2.2,0.1,5.43,1
175,Luke Kornet,2.41,0.67,3.94,1
176,Malik Williams,5.4,0.6,2.7,1
177,Mamadi Diakite,1.4,0.4,2.6,1
178,Mangok Mathiang,2.5,0.0,2.0,1
179,Marc Gasol,6.85,1.21,13.5,2
180,Marcin Gortat,8.44,0.9,9.98,2
181,Mark Williams,8.4,1.05,10.85,2
182,Marko Simonovic,0.7,0.05,1.4,1
183,Marques Bolden,1.9,0.28,1.32,1
184,Marreese Speights,3.68,0.45,8.48,1
185,Marshall Plumlee,2.25,0.15,1.85,1
