,Player,Average Total Blocks,Average Assists,Average Total Points,Cluster
128,Giannis Antetokounmpo,1.9,5.4,22.9,1
129,Gigi Datome,0.2,0.55,4.45,2
130,Glenn Robinson III,0.16,0.84,6.06,2
131,Gordon Hayward,0.28,3.34,15.04,1
132,Greg Brown III,0.5,0.7,4.7,2
133,Hamidou Diallo,0.37,1.0,9.13,2
134,Harrison Barnes,0.17,1.7,12.03,1
135,Haywood Highsmith,0.1,0.35,2.05,2
136,Hedo Türkoğlu,0.1,0.6,3.7,2
137,Henri Drell,0.3,1.0,2.8,2
138,Henry Walker,0.4,1.2,7.3,2
139,Herbert Jones,0.8,2.6,11.0,1
140,Ignas Brazdeikis,0.12,0.72,3.7,2
141,Iman Shumpert,0.2,0.9,4.2,2
142,Isaac Bonga,0.2,0.7,2.6,2
143,Isaac Okoro,0.4,1.6,8.2,2
144,Isaiah Livers,0.4,1.1,6.4,2
145,Ish Wainright,0.17,0.4,2.63,2
146,J.J. O'Brien,0.0,0.0,0.0,2
147,JaKarr Sampson,0.64,0.72,8.04,2
148,Jabari Walker,0.25,0.8,6.4,2
149,Jack White,0.2,0.25,1.35,2
150,Jacob Toppin,0.1,0.3,1.4,2
151,Jaden McDaniels,0.8,1.65,11.3,1
152,Jae Crowder,0.32,1.62,10.42,1
153,Jae'Sean Tate,0.3,2.07,8.17,1
154,Jaime Jaquez Jr.,0.3,2.6,11.9,1
155,Jake Layman,0.25,0.48,4.57,2
156,Jalen Johnson,0.65,2.4,10.8,1
157,Jalen Jones,0.07,0.23,4.07,2
158,Jalen McDaniels,0.3,1.08,6.65,2
159,Jalen Slawson,0.1,0.2,0.7,2
160,James Ennis III,0.28,0.79,6.02,2
161,James Jones,0.17,0.33,3.63,2
162,James Nunnally,0.0,0.57,2.77,2
163,James Webb III,0.0,0.4,1.6,2
164,Jamil Wilson,0.5,0.7,7.0,2
165,Jarell Eddie,0.0,0.05,1.8,2
166,Jaron Blossomgame,0.3,0.5,4.2,2
167,Jarrett Culver,0.2,0.6,4.4,2
168,Javonte Green,0.55,0.65,7.2,2
169,Jaylen Brown,0.35,2.85,19.95,1
170,Jaylen Hoard,0.5,1.85,10.4,1
171,Jayson Tatum,0.64,3.4,22.6,1
172,Jeff Green,0.52,1.68,13.45,1
173,Jeff Taylor,0.0,0.8,4.4,2
174,Jemerrio Jones,0.4,1.1,3.25,2
175,Jerami Grant,1.05,2.0,14.3,1
176,Jeremy Evans,0.2,0.13,2.27,2
177,Jeremy Lamb,0.4,1.3,7.1,2
178,Jermaine Samuels,0.1,0.2,1.4,2
179,Jett Howard,0.1,0.3,1.6,2
180,Jimmy Butler,0.46,5.62,20.98,1
181,Joe Harris,0.18,1.6,11.88,1
182,Joe Ingles,0.11,3.19,7.3,1
