,Player,Average Total Rebounds,Average Total Blocks,Average Total Points,Cluster
128,Hunter Tyson,0.5,0.0,1.1,1
129,Isaiah Hartenstein,1.7,0.4,1.9,1
130,Isaiah Hicks,2.3,0.6,4.2,1
131,Isaiah Livers,2.45,0.35,5.85,1
132,Isaiah Mobley,1.35,0.15,2.45,1
133,Isaiah Roby,3.4,0.4,5.72,1
134,Isaiah Stewart,6.6,0.8,10.9,2
135,Isaiah Todd,1.5,0.1,1.6,1
136,Ish Wainright,1.2,0.1,2.4,1
137,Ivan Rabb,4.3,0.35,5.7,1
138,JT Thor,1.93,0.33,3.0,1
139,JaKarr Sampson,2.65,0.45,4.6,1
140,JaMychal Green,5.02,0.41,7.05,1
141,Jabari Parker,4.81,0.35,11.4,2
142,Jabari Smith Jr.,7.65,0.85,13.25,2
143,Jack Cooley,4.3,0.0,5.7,1
144,Jacob Wiley,2.2,0.0,0.8,1
145,Jaden McDaniels,3.95,0.9,8.0,2
146,Jae Crowder,4.48,0.38,8.9,1
147,Jae'Sean Tate,5.4,0.5,11.8,2
148,Jake LaRavia,2.75,0.2,6.9,1
149,Jalen Johnson,1.2,0.1,2.4,1
150,Jalen Smith,4.6,0.6,7.13,1
151,Jalen Williams,4.0,0.6,19.1,2
152,Jalen Wilson,3.0,0.1,5.0,1
153,Jamal Cain,2.15,0.15,4.55,1
154,Jameel Warney,3.0,0.0,5.7,1
155,James Johnson,3.14,0.65,6.74,1
156,James Michael McAdoo,1.6,0.42,3.12,1
157,Jamorko Pickett,2.5,0.5,3.8,1
158,Jarace Walker,1.9,0.3,3.6,1
159,Jared Dudley,2.43,0.2,4.13,1
160,Jared Sullinger,6.13,0.47,9.0,2
161,Jarell Martin,3.3,0.35,5.0,1
162,Jaren Jackson Jr.,5.25,1.85,15.05,2
163,Jarnell Stokes,1.8,0.3,3.0,1
164,Jarred Vanderbilt,4.55,0.27,4.56,1
165,Jarrell Brantley,1.57,0.4,3.5,1
166,Jarrod Uthoff,1.47,0.13,3.47,1
167,Jason Maxiell,3.3,0.7,3.3,1
168,Jason Smith,1.8,0.3,2.2,1
169,Jason Thompson,6.5,0.7,6.1,2
170,Jaylen Hoard,2.5,0.0,2.9,1
171,Jayson Tatum,7.55,0.75,25.15,2
172,Jeff Adrien,4.5,0.5,3.5,1
173,Jeff Ayres,2.3,0.2,2.7,1
174,Jeff Green,3.11,0.36,9.46,1
175,Jerami Grant,3.89,1.12,13.09,2
176,Jeremiah Robinson-Earl,3.05,0.2,4.85,1
177,Jeremy Sochan,5.85,0.45,11.3,2
178,Jericho Sims,4.1,0.5,2.2,1
179,Jerrelle Benimon,1.5,0.0,0.0,1
180,Jimmy Butler,5.6,0.3,21.85,2
181,Joe Ingles,3.95,0.2,10.95,1
182,Joel Bolomboy,1.55,0.1,1.65,1
183,Joey Dorsey,4.0,0.4,2.7,1
184,Joffrey Lauvergne,3.7,0.1,5.7,1
185,John Collins,8.2,1.03,16.23,2
186,Johnathan Motley,2.53,0.1,5.17,1
187,Johnathan Williams,4.3,0.5,3.0,1
188,Johnny O'Bryant,2.16,0.1,3.62,1
189,Jon Leuer,4.14,0.26,6.48,1
190,Jonah Bolden,3.8,0.9,4.7,1
191,Jonas Jerebko,3.72,0.22,5.43,1
192,Jonathan Isaac,4.9,1.26,7.74,2
193,Jonathan Kuminga,4.1,0.5,13.0,2
194,Jontay Porter,2.25,0.45,3.2,1
195,Jordan Mickey,1.9,0.43,2.27,1
196,Josh Giddey,7.9,0.4,16.6,2
197,Josh Huestis,2.93,0.83,4.03,1
198,Josh McRoberts,2.12,0.15,3.18,1
199,Josh Smith,4.26,0.92,7.62,2
200,Juancho Hernangómez,3.38,0.19,4.88,1
201,Julius Randle,8.5,0.36,17.86,2
202,Justin Harper,0.95,0.0,3.3,1
203,Justin Jackson,2.4,0.2,5.5,1
204,Justise Winslow,5.08,0.5,7.38,1
205,Juwan Morgan,1.6,0.02,1.98,1
206,KZ Okpala,1.45,0.25,2.22,1
207,Karl-Anthony Towns,8.2,0.65,21.3,2
208,Keita Bates-Diop,3.35,0.4,8.25,1
209,Kelly Olynyk,6.27,0.53,13.5,2
210,Kenneth Faried,7.5,0.7,10.15,2
211,Kenneth Lofton Jr.,2.4,0.2,5.6,1
212,Kenrich Williams,4.2,0.3,6.05,1
213,Kenyon Martin,1.7,0.5,1.8,1
214,Kevin Durant,7.08,1.3,27.45,2
215,Kevin Garnett,5.3,0.47,5.87,1
216,Kevin Hervey,1.2,0.1,1.7,1
217,Kevin Knox,3.9,0.15,10.65,1
218,Kevin Love,8.6,0.29,13.69,2
219,Kevin Séraphin,2.9,0.4,4.7,1
220,Kevon Looney,2.0,0.0,1.8,1
221,Kobe Brown,1.4,0.1,2.0,1
222,Kostas Antetokounmpo,0.8,0.1,1.07,1
223,Kris Humphries,5.14,0.42,6.54,1
224,Kristaps Porziņģis,7.52,1.9,19.28,2
225,Kyle Anderson,4.95,0.75,8.95,2
226,Kyle Korver,1.8,0.1,6.8,1
227,Kyle Kuzma,6.43,0.55,18.02,2
228,Kyle O'Quinn,3.85,0.8,5.3,1
229,Kyle Wiltjer,0.7,0.1,0.9,1
230,LaMarcus Aldridge,8.67,1.1,19.57,2
231,Lamar Stevens,2.92,0.45,6.12,1
232,Lance Thomas,2.52,0.13,5.75,1
233,Larry Nance Jr.,5.84,0.54,7.86,2
234,Lauri Markkanen,7.48,0.52,18.5,2
235,Lavoy Allen,4.5,0.45,4.15,1
236,LeBron James,8.07,0.67,27.37,2
237,Lou Amundson,3.13,0.5,2.9,1
238,Louis King,4.0,0.0,20.0,2
239,Luc Mbah a Moute,2.54,0.26,5.44,1
240,Luis Scola,5.03,0.23,7.73,1
