,Player,Average Assists,Two-Point Percentage Average,Average Steals,Average Turnovers,Three-Point Percentage Average,Cluster
263,Shamorie Ponds,0.5,66.7,0.0,0.0,50.0,2
264,Shane Larkin,3.07,44.77,0.97,1.2,34.1,1
265,Shaquille Harrison,2.4,54.1,1.1,1.0,23.1,1
266,Sharife Cooper,0.4,25.0,0.0,0.4,16.7,2
267,Shaun Livingston,2.38,52.68,0.56,0.9,10.0,2
268,Shelvin Mack,2.87,43.84,0.66,1.36,26.17,2
269,Skylar Mays,5.95,48.1,0.85,1.3,37.4,1
270,Spencer Dinwiddie,4.84,46.43,0.67,1.51,30.38,1
271,Stephen Curry,6.24,55.77,1.39,3.1,40.49,1
272,Steve Blake,3.5,43.9,0.45,1.35,34.8,2
273,T.J. McConnell,5.09,53.29,1.22,1.59,34.18,1
274,Talen Horton-Tucker,3.5,43.8,0.9,1.3,33.0,1
275,Terquavion Smith,0.8,45.5,0.5,0.4,37.1,2
276,Terry Rozier,2.87,40.37,0.78,1.08,34.2,2
277,Théo Maledon,2.28,39.1,0.56,1.36,27.25,2
278,Tim Frazier,3.84,40.76,0.57,1.43,29.75,2
279,Tomáš Satoranský,4.95,53.6,0.85,1.25,33.4,1
280,Toney Douglas,2.45,45.05,0.95,0.95,28.3,2
281,Tony Parker,4.38,48.84,0.56,1.56,34.0,1
282,Tony Wroten,3.85,43.45,1.0,3.7,21.85,1
283,Toure' Murry,0.0,0.0,0.0,0.0,0.0,2
284,Trae Young,9.58,48.93,1.02,4.2,35.3,1
285,Tre Jones,4.32,52.45,0.77,1.05,35.4,1
286,Tre Mann,2.5,49.4,0.82,1.2,36.5,2
287,Tremont Waters,1.85,41.15,1.12,1.1,26.13,1
288,Trent Forrest,1.65,57.75,0.4,0.75,18.85,2
289,Trevon Duval,0.7,50.0,0.0,0.0,100.0,2
290,Trevor Hudgins,0.6,0.0,0.0,0.2,25.0,2
291,Trey Burke,2.71,46.72,0.57,0.93,36.96,2
292,Troy Caupain,1.0,40.0,0.3,0.0,66.7,2
293,Ty Lawson,5.55,45.35,0.98,1.72,32.9,1
294,TyTy Washington Jr.,1.0,38.7,0.4,0.35,28.55,2
295,Tyler Ennis,1.95,44.87,0.48,0.98,32.5,2
296,Tyler Johnson,2.31,37.99,0.77,0.89,35.2,2
297,Tyler Ulis,2.7,44.0,0.6,1.03,27.7,2
298,Tyreke Evans,5.2,48.2,1.1,2.3,39.9,1
299,Tyrell Terry,0.25,77.8,0.25,0.1,0.0,2
300,Tyrese Haliburton,9.05,56.53,1.48,2.4,39.72,1
301,Tyrese Maxey,5.25,50.65,0.85,1.45,40.0,1
302,Tyrone Wallace,1.55,46.35,0.6,1.05,23.05,2
303,Tyus Jones,4.23,48.01,0.98,0.77,35.54,1
304,Vasilije Micić,4.35,54.7,0.5,1.65,26.9,1
305,Vit Krejci,1.45,63.2,0.4,0.55,32.5,2
306,Wade Baldwin,1.1,43.77,0.3,0.9,38.6,2
307,Walt Lemon Jr.,3.0,41.95,0.9,1.25,70.0,1
308,Will Cherry,1.0,30.0,0.8,0.5,22.2,2
309,Yogi Ferrell,2.32,43.93,0.7,0.95,33.57,2
310,Zach LaVine,3.6,44.9,0.7,2.5,34.1,1
311,Zavier Simpson,5.55,36.65,1.15,1.95,20.95,1
