,Player,Average Total Points,Average Steals,Average Turnovers,Average Assists,Cluster
109,Dejounte Murray,21.5,1.45,2.4,6.25,2
110,Delon Wright,4.4,1.2,0.6,2.4,1
111,Dennis Schröder,15.4,1.1,2.7,5.8,2
112,Denzel Valentine,5.44,0.52,0.88,1.3,1
113,Deonte Burton,2.6,0.2,0.3,0.3,1
114,Dereon Seabron,1.55,0.15,0.0,0.4,1
115,Derrick White,13.28,0.77,1.38,4.2,2
116,Desmond Bane,18.15,0.95,1.83,3.58,2
117,Devin Booker,24.28,0.86,3.11,4.82,2
118,Devin Vassell,19.0,1.1,1.55,3.85,2
119,Devyn Marble,2.2,0.55,0.45,0.75,1
120,Dexter Dennis,5.5,0.0,0.8,1.0,1
121,Didi Louzada,5.0,0.3,0.7,0.6,1
122,Dillon Brooks,16.2,0.9,1.7,2.1,2
123,Dion Waiters,12.04,0.79,1.65,2.55,2
124,Donovan Mitchell,24.85,1.45,2.77,4.67,2
125,Donovan Williams,2.0,0.0,0.0,0.0,1
126,Donte DiVincenzo,9.56,1.09,1.41,2.57,2
127,Dru Smith,3.27,0.8,0.33,1.43,1
128,Duane Washington Jr.,7.9,0.2,1.1,2.0,1
129,Duncan Robinson,12.2,0.5,0.9,1.5,1
130,Dusty Hannahs,5.0,0.25,0.25,1.25,1
131,Dwayne Bacon,6.8,0.45,0.57,1.1,1
132,Dwyane Wade,16.17,1.05,2.5,4.0,2
133,Džanan Musa,2.1,0.2,0.4,0.2,1
134,E'Twaun Moore,8.2,0.67,0.84,1.66,1
135,Edmond Sumner,6.5,0.57,0.87,1.33,1
136,Elijah Bryant,16.0,0.0,4.0,3.0,2
137,Elijah Hughes,3.8,0.5,0.5,0.7,1
138,Elijah Millsap,2.87,0.53,0.97,0.9,1
139,Elliot Williams,3.0,0.35,0.4,0.9,1
140,Eric Bledsoe,12.2,0.8,1.6,3.8,2
141,Eric Gordon,14.53,0.68,1.61,2.54,2
142,Evan Fournier,10.81,0.91,1.21,2.1,2
143,Evan Turner,7.77,0.83,1.97,3.97,2
144,Frank Ntilikina,3.5,0.4,0.55,1.2,1
145,Fred VanVleet,18.6,1.8,2.0,6.45,2
